Income,Limit,Rating,Cards,Age,Education,Gender,Student,Married,County,Balance
14.891,3606,283,2,34,11,Male,No,Yes,C,333
106.025,6645,483,3,82,15,Female,Yes,Yes,A,903
104.593,7075,514,4,71,11,Male,No,No,A,580
148.924,9504,681,3,36,11,Female,No,No,A,964
55.882,4897,357,2,68,16,Male,No,Yes,C,331
80.18,8047,569,4,77,10,Male,No,No,C,1151
20.996,3388,259,2,37,12,Female,No,No,B,203
71.408,7114,512,2,87,,Male,No,No,A,872
15.125,3300,266,5,66,13,Female,No,No,C,279
71.061,6819,491,3,41,19,Female,Yes,Yes,B,1350
63.095,8117,589,4,30,14,Male,No,Yes,C,1407
15.045,1311,138,3,64,16,Male,No,No,C,0
80.616,5308,394,1,57,,Female,No,Yes,A,204
43.682,6922,511,1,49,,Male,No,Yes,C,1081
19.144,3291,269,2,75,13,Female,No,No,B,148
20.089,2525,200,3,57,15,Female,No,Yes,B,0
53.598,3714,286,3,73,17,Female,No,Yes,B,0
36.496,4378,339,3,69,15,Female,No,Yes,A,368
49.57,6384,448,1,28,12,Female,No,Yes,A,891
42.079,6626,479,2,44,12,Male,No,No,A,1048
17.7,2860,235,4,63,16,Female,No,No,A,89
37.348,6378,458,1,72,17,Female,No,No,C,968
20.103,2631,213,3,61,12,Male,No,Yes,B,0
64.027,5179,398,5,48,13,Male,No,Yes,B,411
10.742,1757,156,3,57,15,Female,No,No,C,0
14.09,4323,326,5,25,16,Female,No,Yes,B,671
42.471,3625,289,6,44,12,Female,Yes,No,C,654
32.793,4534,333,2,44,16,Male,No,No,B,467
186.634,13414,949,2,41,14,Female,No,Yes,B,1809
26.813,5611,411,4,55,16,Female,No,No,C,915
34.142,5666,413,4,47,14,Female,No,Yes,C,863
28.941,2733,210,5,43,16,Male,No,Yes,A,0
134.181,7838,563,2,48,13,Female,No,No,C,526
31.367,1829,162,4,30,10,Male,No,Yes,C,0
20.15,2646,199,2,25,14,Female,No,Yes,A,0
23.35,2558,220,3,49,12,Female,Yes,No,C,419
62.413,6457,455,2,71,11,Female,No,Yes,C,762
30.007,6481,462,2,69,12,Female,No,Yes,C,1093
11.795,3899,300,4,25,10,Female,No,No,C,531
13.647,3461,264,4,47,14,Male,No,Yes,C,344
34.95,3327,253,3,54,14,Female,No,No,B,50
113.659,7659,538,2,66,15,Male,Yes,Yes,B,1155
44.158,4763,351,2,66,13,Female,No,Yes,A,385
36.929,6257,445,1,24,14,Female,No,Yes,A,976
550,6375,469,3,25,16,Female,No,Yes,C,1120
77.38,7569,564,3,50,12,Female,No,Yes,C,997
19.531,5043,376,2,64,16,Female,Yes,Yes,A,1241
44.646,4431,320,2,49,15,Male,Yes,Yes,C,797
44.522,2252,205,6,72,15,Male,No,Yes,A,0
43.479,4569,354,4,49,13,Male,Yes,Yes,B,902
36.362,5183,376,3,49,15,Male,No,Yes,B,654
39.705,3969,301,2,27,20,Male,No,Yes,B,211
44.205,5441,394,1,32,12,Male,No,Yes,C,607
16.304,5466,413,4,66,10,Male,No,Yes,A,957
15.333,1499,138,2,47,11,Female,No,Yes,A,0
32.916,1786,154,2,60,13,Female,No,Yes,A,0
6.5,4742,372,7,79,,Female,No,Yes,A,379
76.273,4779,367,4,65,14,Female,No,Yes,C,133
10.354,3480,281,2,70,17,Male,No,Yes,C,333
51.872,5294,390,4,81,17,Female,No,No,C,531
35.51,5198,364,2,35,20,Female,No,No,A,631
21.238,3089,254,3,59,10,Female,No,No,C,108
30.682,1671,160,2,77,12,Female,No,No,C,0
14.132,2998,251,4,75,17,Male,No,No,C,133
32.164,2937,223,2,79,15,Female,No,Yes,B,0
12,4160,320,4,28,14,Female,No,Yes,C,602
113.829,9704,694,4,38,13,Female,No,Yes,A,1388
11.187,5099,380,4,69,16,Female,No,No,B,889
27.847,5619,418,2,78,15,Female,No,Yes,C,822
49.502,6819,505,4,,14,Male,No,Yes,C,1084
24.889,3954,318,4,75,12,Male,No,Yes,C,357
58.781,7402,538,2,81,12,Female,No,Yes,A,1103
22.939,4923,355,1,47,18,Female,No,Yes,A,663
23.989,4523,338,4,31,15,Male,No,No,C,601
16.103,5390,418,4,45,10,Female,No,Yes,C,945
33.017,3180,224,2,28,16,Male,No,Yes,B,29
30.622,3293,251,1,68,16,Male,Yes,No,C,532
20.936,3254,253,1,30,15,Female,No,No,A,145
110.968,6662,468,3,45,11,Female,No,Yes,C,391
15.354,2101,171,2,65,14,Male,No,No,A,0
27.369,3449,288,3,40,12,Female,No,Yes,C,162
53.48,4263,317,1,83,15,Male,No,No,C,99
23.672,4433,344,3,63,11,Male,No,No,C,503
19.225,1433,122,3,38,14,Female,No,No,C,0
300,2906,232,4,69,11,Male,No,No,C,0
152.298,12066,828,4,41,12,Female,No,Yes,A,1779
55.367,6340,448,1,33,15,Male,No,Yes,C,815
11.741,2271,182,4,59,12,Female,No,No,A,0
15.56,4307,352,4,57,12,Male,No,Yes,B,579
59.53,7518,543,3,52,12,Female,No,No,B,1176
20.191,5767,431,4,42,16,Male,No,Yes,B,1023
48.498,6040,456,3,47,16,Male,No,Yes,C,812
30.733,2832,249,4,51,13,Male,No,No,C,0
16.479,5435,388,2,26,16,Male,No,No,B,937
38.009,3075,245,3,45,15,Female,No,No,B,0
14.084,855,120,5,46,17,Female,No,Yes,B,0
14.312,5382,367,1,59,17,Male,Yes,No,A,1380
26.067,3388,266,4,74,17,Female,No,Yes,B,155
36.295,2963,241,2,68,14,Female,Yes,No,B,375
83.851,8494,607,5,47,18,Male,No,No,C,1311
21.153,3736,256,1,41,11,Male,No,No,C,298
17.976,2433,190,3,70,16,Female,Yes,No,C,431
68.713,7582,531,2,56,16,Male,Yes,No,C,1587
146.183,9540,682,6,66,15,Male,No,No,C,1050
15.846,4768,365,4,53,12,Female,No,No,C,745
12.031,3182,259,2,58,18,Female,No,Yes,C,210
16.819,1337,115,2,74,15,Male,No,Yes,A,0
39.11,3189,263,3,72,12,Male,No,No,A,0
107.986,6033,449,4,64,14,Male,No,Yes,C,227
13.561,3261,279,5,37,19,Male,No,Yes,A,297
34.537,3271,250,3,57,17,Female,No,Yes,A,47
28.575,2959,231,2,60,11,Female,No,No,B,0
46.007,6637,491,4,42,14,Male,No,Yes,C,1046
69.251,6386,474,4,30,12,Female,No,Yes,A,768
16.482,3326,268,4,41,15,Male,No,No,C,271
40.442,4828,369,5,81,11,Female,No,No,B,510
35.177,2117,186,3,62,16,Female,No,No,C,0
91.362,9113,626,1,47,17,Male,No,Yes,A,1341
27.039,2161,173,3,40,17,Female,No,No,C,0
23.012,1410,137,3,81,16,Male,No,No,C,0
27.241,1402,128,2,67,15,Female,No,Yes,A,0
148.08,8157,599,2,83,13,Male,No,Yes,C,454
62.602,7056,481,1,84,11,Female,No,No,C,904
11.808,1300,117,3,77,14,Female,No,No,B,0
29.564,2529,192,1,30,12,Female,No,Yes,C,0
27.578,2531,195,1,34,15,Female,No,Yes,C,0
26.427,5533,433,5,50,15,Female,Yes,Yes,A,1404
57.202,3411,259,3,72,11,Female,No,No,C,0
123.299,8376,610,2,89,17,Male,Yes,No,B,1259
18.145,3461,279,3,56,15,Male,No,Yes,B,255
23.793,3821,281,4,56,12,Female,Yes,Yes,B,868
10.726,1568,162,5,46,19,Male,No,Yes,A,0
23.283,5443,407,4,49,13,Male,No,Yes,B,912
21.455,5829,427,4,80,12,Female,No,Yes,B,1018
34.664,5835,452,3,77,15,Female,No,Yes,B,835
44.473,3500,257,3,81,16,Female,No,No,B,8
54.663,4116,314,2,70,12,Female,No,No,B,75
36.355,3613,278,4,35,12,Male,No,Yes,A,187
21.374,2073,175,2,74,11,Female,No,Yes,C,0
107.841,10384,728,3,87,16,Male,No,No,B,1597
39.831,6045,459,3,32,12,Female,Yes,Yes,B,1425
91.876,6754,483,2,33,10,Male,No,Yes,C,605
103.893,7416,549,3,84,17,Male,No,No,A,669
19.636,4896,387,3,64,10,Female,No,No,B,710
17.392,2748,228,3,32,14,Male,No,Yes,C,68
19.529,4673,341,2,51,14,Male,No,No,A,642
17.055,5110,371,3,55,15,Female,No,Yes,C,805
23.857,1501,150,3,56,16,Male,No,Yes,C,0
15.184,2420,192,2,69,11,Female,No,Yes,C,0
13.444,886,121,5,44,10,Male,No,Yes,A,0
63.931,5728,435,3,28,14,Female,No,Yes,B,581
35.864,4831,353,3,66,13,Female,No,Yes,C,534
41.419,2120,184,4,24,11,Female,Yes,No,C,156
92.112,4612,344,3,32,17,Male,No,No,C,0
55.056,3155,235,2,31,16,Male,No,Yes,B,0
19.537,1362,143,4,,9,Female,No,Yes,A,0
31.811,4284,338,5,75,13,Female,No,Yes,C,429
56.256,5521,406,2,72,16,Female,Yes,Yes,C,1020
42.357,5550,406,2,83,12,Female,No,Yes,A,653
53.319,3000,235,3,53,13,Male,No,No,A,0
12.238,4865,381,5,67,11,Female,No,No,C,836
31.353,1705,160,3,81,14,Male,No,Yes,C,0
63.809,7530,515,1,56,12,Male,No,Yes,C,1086
13.676,2330,203,5,80,16,Female,No,No,B,0
76.782,5977,429,4,44,12,Male,No,Yes,A,548
25.383,4527,367,4,46,11,Male,No,Yes,C,570
35.691,2880,214,2,35,15,Male,No,No,B,0
29.403,2327,178,1,37,14,Female,No,Yes,C,0
27.47,2820,219,1,32,11,Female,No,Yes,A,0
27.33,6179,459,4,36,12,Female,No,Yes,C,1099
34.772,2021,167,3,57,9,Male,No,No,A,0
36.934,4270,299,1,63,9,Female,No,Yes,C,283
76.348,4697,344,4,60,18,Male,No,No,A,108
14.887,4745,339,3,58,12,Male,No,Yes,B,724
121.834,10673,750,3,54,16,Male,No,No,B,1573
30.132,2168,206,3,52,17,Male,No,No,C,0
24.05,2607,221,4,32,18,Male,No,Yes,C,0
22.379,3965,292,2,34,14,Female,No,Yes,A,384
28.316,4391,316,2,29,10,Female,No,No,C,453
58.026,7499,560,5,67,11,Female,No,No,C,1237
10.635,3584,294,5,69,16,Male,No,Yes,A,423
46.102,5180,382,3,81,12,Male,No,Yes,B,516
58.929,6420,459,2,66,9,Female,No,Yes,B,789
80.861,4090,335,3,29,15,Female,No,Yes,A,0
158.889,11589,805,1,62,17,Female,No,Yes,C,1448
30.42,4442,316,1,30,14,Female,No,No,B,450
36.472,3806,309,2,52,13,Male,No,No,B,188
23.365,2179,167,2,75,15,Male,No,No,A,0
83.869,7667,554,2,83,11,Male,No,No,B,930
58.351,4411,326,2,85,16,Female,No,Yes,C,126
55.187,5352,385,4,50,17,Female,No,Yes,C,538
124.29,9560,701,3,52,17,Female,Yes,No,A,1687
28.508,3933,287,4,56,14,Male,No,Yes,A,336
130.209,10088,730,7,39,19,Female,No,Yes,C,1426
30.406,2120,181,2,79,14,Male,No,Yes,B,0
23.883,5384,398,2,73,16,Female,No,Yes,B,802
93.039,7398,517,1,67,12,Male,No,Yes,B,749
50.699,3977,304,2,84,17,Female,No,No,B,69
27.349,2000,169,4,51,16,Female,No,Yes,B,0
10.403,4159,310,3,43,10,Male,No,Yes,A,571
23.949,5343,383,2,40,18,Male,No,Yes,B,829
73.914,7333,529,6,67,15,Female,No,Yes,C,1048
21.038,1448,145,2,58,13,Female,No,Yes,C,0
68.206,6784,499,5,40,16,Female,Yes,No,B,1411
57.337,5310,392,2,45,10,Female,No,No,C,456
10.793,3878,321,8,29,13,Male,No,No,C,638
23.45,2450,180,2,78,13,Male,No,No,C,0
10.842,4391,358,5,37,10,Female,Yes,Yes,C,1216
51.345,4327,320,3,46,15,Male,No,No,B,230
151.947,9156,642,2,91,11,Female,No,Yes,B,732
24.543,3206,243,2,62,12,Female,No,Yes,C,95
29.567,5309,397,3,25,15,Male,No,No,C,799
39.145,4351,323,2,66,13,Male,No,Yes,C,308
39.422,5245,383,2,44,19,Male,No,No,B,637
34.909,5289,410,2,62,16,Female,No,Yes,C,681
41.025,4229,337,3,79,19,Female,No,Yes,C,246
15.476,2762,215,3,60,18,Male,No,No,A,52
12.456,5395,392,3,65,14,Male,No,Yes,C,955
10.627,1647,149,2,71,10,Female,Yes,Yes,A,195
38.954,5222,370,4,76,13,Female,No,No,C,653
44.847,5765,437,3,53,13,Female,Yes,No,A,1246
98.515,8760,633,5,78,16,Female,No,No,B,1230
33.437,6207,451,4,44,11,Male,Yes,No,C,1549
27.512,4613,344,5,72,17,Male,No,Yes,A,573
121.709,7818,584,4,50,6,Male,No,Yes,C,701
15.079,5673,411,4,28,15,Female,No,Yes,A,1075
59.879,6906,527,6,78,15,Female,No,No,C,1032
66.989,5614,430,3,47,14,Female,No,Yes,C,482
69.165,4668,341,2,34,11,Female,No,No,B,156
69.943,7555,547,3,76,16,Male,No,Yes,A,1058
33.214,5137,387,3,59,9,Male,No,No,B,661
25.124,4776,378,4,29,12,Male,No,Yes,C,657
15.741,4788,360,1,39,14,Male,No,Yes,A,689
11.603,2278,187,3,71,11,Male,No,Yes,C,0
69.656,8244,579,3,41,14,Male,No,Yes,B,1329
10.503,2923,232,3,25,18,Female,No,Yes,B,191
42.529,4986,369,2,37,11,Male,No,Yes,A,489
60.579,5149,388,5,38,15,Male,No,Yes,A,443
26.532,2910,236,6,58,19,Female,No,Yes,C,52
27.952,3557,263,1,35,13,Female,No,Yes,A,163
29.705,3351,262,5,71,14,Female,No,Yes,A,148
15.602,906,103,2,36,11,Male,No,Yes,B,0
20.918,1233,128,3,47,18,Female,Yes,Yes,A,16
58.165,6617,460,1,56,12,Female,No,Yes,C,856
22.561,1787,147,4,66,15,Female,No,No,C,0
34.509,2001,189,5,80,18,Female,No,Yes,B,0
19.588,3211,265,4,59,14,Female,No,No,A,199
