obs,dogname,sire,dam,sex,birthdate,ster,weight,training,down,stay
1,Bella,gold,lab,F,10/6/2018,1,69,2,1,2.4
2,Charlie,lab,lab,M,11/7/2017,0,64,99,1,0
3,Molly,gold,pood,F,10/4/2017,0,69,1,0,0
4,Max,lab,lab,M,8/1/2010,1,78,3,1,4.5
5,Buddy,gold,lab,M,5/13/2016,1,77,1,1,2.4
6,Coco,gold,lab,F,2/21/2012,0,61,3,1,3.6
7,Oscar,lab,gold,M,2/24/2016,1,62,2,1,3.2
8,Milo,lag,lab,M,4/12/2011,0,57,0,1,2.3
9,Archie,lab,lab,M,10/2/2012,0,82,1,1,0.8
10,Ruby,gold,pood,F,8/14/2013,1,52,1,1,0.3
11,Lucy,lab,lab,F,2/12/2016,0,65,3,1,2.7
12,Ollie,lab,lab,M,2/7/2012,1,59,1,0,0
13,Toby,lab,pood,M,8/20/2015,0,62,2,1,1.5
14,Bailey,lab,pood,F,1/12/2015,1,66,2,1,2.9
15,Jack,pood,pood,M,9/6/2011,0,74,1,1,1
16,Daisy,gold,Gold,F,7/18/2014,NA,56,1,0,0
17,Teddy,gold,pood,M,1/5/2011,0,71,1,1,0.9
18,Rosie,pood,gold,F,6/28/2012,1,73,3,1,3.3
19,Lola,gold,lab,F,11/11/2017,0,56,0,0,0.5
20,Frankie,pood,pood,F,1/27/2012,0,50,0,0,0
