State,ST,Fips,County,Total Population,Less Than High School Diploma,At Least High School Diploma,At Least Bachelor's Degree,Graduate Degree,School Enrollment,Median Earnings 2010,Children Under 6 Living in Poverty,Adults 65 and Older Living in Poverty,,Preschool.Enrollment.Ratio.enrolled.ages.3.and.4,Poverty.Rate.below.federal.poverty.threshold,Child.Poverty.living.in.families.below.the.poverty.line,Management.professional.and.related.occupations,Service.occupations,Sales.and.office.occupations,Farming.fishing.and.forestry.occupations,Construction.extraction.maintenance.and.repair.occupations,Production.transportation.and.material.moving.occupations,Median Age,lon,lat,Poor.physical.health.days,Poor.mental.health.days,Low.birthweight,Teen.births,Children.in.single.parent.households,Adult.smoking,Adult.obesity,Diabetes,Sexually.transmitted.infections,HIV.prevalence.rate,Uninsured,Unemployment,Violent.crime,Homicide.rate,Injury.deaths,Infant.mortality,elevation,precip
Alabama,AL,1019,"Cherokee County, Alabama",25208,26.6,73.4,10.5,4.2,68.8,26915.90349,20.7,10.45,,24.2,16.1,24.2,24.6,15.55,20.25,1.4,13.25,25,43.9,-85.6542417,34.0695153,6.1,5.2,0.09,52.2,0.258,0.244,0.314,0.136,268.6,119.8,0.172,0.071,335.88,,80.9,,181.35,1321.689
Alabama,AL,1101,"Montgomery County, Alabama",226866,15.3,84.7,30.5,12.3,76.15,26278.64921,33.65,11.15,,46.4,18.35,28.05,35.6,17.6,26.35,0.3,6.85,13.3,34.6,-86.2038308,32.2036505,4,3.8,0.12,55.4,0.49,0.192,0.353,0.143,1277.4,755.5,0.165,0.077,380,14.06,58.7,10.1,65.1,1344.549
Arkansas,AR,5067,"Jackson County, Arkansas",17517,27.7,72.3,7,2.2,72.4,19088.79715,48.7,19.1,,58.8,27.55,43.05,22.4,17.9,24.5,2.85,9.75,22.55,40,-91.223178,35.5966053,4.7,4.7,0.11,75.8,0.438,0.27,0.371,0.138,554.1,131,0.205,0.096,461.01,,99.9,,70.83333333,
Arkansas,AR,5093,"Mississippi County, Arkansas",46629,24.4,75.6,11,2.9,73.8,22554.7073,40.4,17.35,,57.6,25.35,39.25,23.4,14.75,21.55,2.35,10.35,27.55,34.6,-90.0522086,35.7669426,5.4,4.8,0.12,85.4,0.51,0.295,0.391,0.135,1224.8,234.8,0.19,0.1,835.35,12.45,90.1,9.2,73.75,1270.635
Arkansas,AR,5077,"Lee County, Arkansas",10600,30.7,69.3,8.5,2.6,69.2,20397.47651,64.3,28.3,,91.8,29.55,45.55,20.5,20.75,31.6,5.6,9.65,11.9,40.1,-90.7792884,34.77975,4.9,4,0.13,72.3,0.593,0.184,0.346,0.132,1007.2,267,0.199,0.113,285.05,26.16,104.6,,71.3,1284.478
Arkansas,AR,5087,"Madison County, Arkansas",15597,24.2,75.8,13.4,4.1,76.4,23365.94889,26.2,18.45,,43.8,18.2,25.15,25.15,16.85,19.55,2.9,16.2,19.4,38.5,-93.7240531,36.0125452,4.9,2.1,0.07,49,0.179,0.304,0.328,0.135,247.2,131.3,0.239,0.053,245.83,,96.8,,495.18,
Arkansas,AR,5043,"Drew County, Arkansas",18604,19.4,80.6,19.4,5.7,78.5,21988.9473,34.15,14.4,,73.5,23.45,36.95,28.35,18.25,20.15,3.6,9.4,20.2,36.8,-91.7227781,33.5872418,4.5,4.7,0.1,47.7,0.429,0.181,0.323,0.126,747.3,79.9,0.197,0.108,449.02,,82,,66.3,1360.424
Arizona,AZ,4012,"La Paz County, Arizona",20272,23.1,76.9,9,3.3,71.35,21059.85048,34.9,6.55,,54.1,20,32.75,24.3,27.1,22,6.65,12.85,7.1,52.5,-114.0387933,33.7276249,5.3,5.2,0.06,78.7,0.467,0.185,0.312,0.134,244.9,127.1,0.262,0.092,344.55,6.99,129.4,,270.6333333,141.6896667
California,CA,6071,"San Bernardino County, California",2010922,22.5,77.5,18.4,6.3,75.75,29159.6873,22.8,9.25,,40.4,14.55,20.1,27.7,17.6,27.1,0.35,11.5,15.8,31.2,-116.1811967,34.8572198,4.2,4.1,0.07,45.5,0.343,0.162,0.282,0.085,530,200.9,0.217,0.12,451.22,8.17,45.5,6.6,1041.942857,222.2862857
California,CA,6027,"Inyo County, California",17992,11.4,88.6,20.9,7.5,75.25,29416.16,20.9,6.35,,66.4,11.4,15.6,25.75,22.5,28.85,0.45,12.8,9.65,45,-117.4039269,36.561977,3.4,,0.09,40.6,0.408,,0.238,0.093,173.2,80.3,0.204,0.094,399.61,,78.1,,611.3571429,
