"","County","TrumpPct","Votes","Less_Than_High_School_Diploma","At_Least_High_School_Diploma","At_Least_Bachelor's_Degree","Graduate_Degree","School_Enrollment","Median_Earnings_2010","Poor.physical.health.days","Poor.mental.health.days","Low.birthweight","Teen.births","Children.in.single.parent.households","Adult.smoking","Adult.obesity","Diabetes","Sexually.transmitted.infections","HIV.prevalence.rate","Uninsured","Unemployment","Violent.crime","Homicide.rate","Injury.deaths","Infant.mortality","precip","Candidate"
"1","Cherokee County, Alabama",83.8712748738,10503,26.6,73.4,10.5,4.2,68.8,26915.90349,6.1,5.2,0.09,52.2,0.258,0.244,0.314,0.136,268.6,119.8,0.172,0.071,335.88,NA,80.9,NA,1321.689,"Trump"
"2","Montgomery County, Alabama",35.8753119316,94572,15.3,84.7,30.5,12.3,76.15,26278.649205,4,3.8,0.12,55.4,0.49,0.192,0.353,0.143,1277.4,755.5,0.165,0.077,380,14.06,58.7,10.1,1344.549,"Clinton"
"3","Jackson County, Arkansas",63.3275092215,5151,27.7,72.3,7,2.2,72.4,19088.797145,4.7,4.7,0.11,75.8,0.438,0.27,0.371,0.138,554.1,131,0.205,0.096,461.01,NA,99.9,NA,NA,"Trump"
"4","Mississippi County, Arkansas",53.4455066922,13075,24.4,75.6,11,2.9,73.8,22554.7073,5.4,4.8,0.12,85.4,0.51,0.295,0.391,0.135,1224.8,234.8,0.19,0.1,835.35,12.45,90.1,9.2,1270.635,"Trump"
"5","Lee County, Arkansas",40.6953642384,3020,30.7,69.3,8.5,2.6,69.2,20397.47651,4.9,4,0.13,72.3,0.593,0.184,0.346,0.132,1007.2,267,0.199,0.113,285.05,26.16,104.6,NA,1284.478,"Clinton"
"6","Madison County, Arkansas",72.0017572119,6829,24.2,75.8,13.4,4.1,76.4,23365.94889,4.9,2.1,0.07,49,0.179,0.304,0.328,0.135,247.2,131.3,0.239,0.053,245.83,NA,96.8,NA,NA,"Trump"
"7","Drew County, Arkansas",60.1972685888,6590,19.4,80.6,19.4,5.7,78.5,21988.9473,4.5,4.7,0.1,47.7,0.429,0.181,0.323,0.126,747.3,79.9,0.197,0.108,449.02,NA,82,NA,1360.424,"Trump"
"8","La Paz County, Arizona",68.5662137497,4931,23.1,76.9,9,3.3,71.35,21059.850475,5.3,5.2,0.06,78.7,0.467,0.185,0.312,0.134,244.9,127.1,0.262,0.092,344.55,6.99,129.4,NA,141.689666667,"Trump"
"9","San Bernardino County, California",42.413027758,598783,22.5,77.5,18.4,6.3,75.75,29159.6873,4.2,4.1,0.07,45.5,0.343,0.162,0.282,0.085,530,200.9,0.217,0.12,451.22,8.17,45.5,6.6,222.286285714,"Clinton"
"10","Inyo County, California",53.1265632816,7996,11.4,88.6,20.9,7.5,75.25,29416.16,3.4,NA,0.09,40.6,0.408,NA,0.238,0.093,173.2,80.3,0.204,0.094,399.61,NA,78.1,NA,NA,"Trump"
"11","San Joaquin County, California",40.9944373436,166647,23.3,76.7,17.5,5.3,76.8,29595.494605,3.8,4,0.07,44.9,0.34,0.164,0.31,0.095,522.5,217,0.193,0.152,812.49,7.59,61,6.3,390.0424,"Clinton"
"12","Conejos County, Colorado",47.4811083123,3970,18.6,81.4,18.7,6.6,79.15,20179.366665,5.5,3.8,0.12,48.4,0.26,0.21,0.177,0.061,205,NA,0.223,0.099,NA,NA,95,NA,211.836,"Clinton"
"13","Chaffee County, Colorado",48.0316392399,10999,9.2,90.8,33.3,10.5,72.55,21144.43238,2.3,2.6,0.1,32.6,0.31,0.203,0.162,0.06,145,65.6,0.195,0.071,86.74,NA,104.9,NA,343.027,"Clinton"
"14","Fairfield County, Connecticut",37.8905574012,410279,11.7,88.3,43.6,19,83.7,40410.649525,2.6,2.8,0.08,18,0.242,0.12,0.186,0.071,296.4,375.4,0.117,0.076,298.01,3.39,43.7,5,1268.6284,"Clinton"
"15","Jefferson County, Florida",51.4330585002,7641,20.1,79.9,14.7,6,65.3,27064.73524,4.3,4.6,0.1,52.8,0.38,0.181,0.351,0.134,518.5,632.1,0.224,0.079,845.81,NA,102.9,NA,NA,"Trump"
"16","Camden County, Georgia",65.2695883134,18825,10.9,89.1,20.4,8.3,68.2,27758.964125,3.4,3,0.08,52.7,0.324,0.243,0.286,0.116,392.8,196.1,0.17,0.09,411.42,4.72,56.8,6.3,1304.671,"Trump"
"17","Cherokee County, Georgia",72.7371982856,110825,11.1,88.9,33.6,9.1,80.3,35838.515875,2.9,2.7,0.07,29.7,0.219,0.167,0.279,0.087,176.8,142.6,0.183,0.072,94.58,1.59,45,4.6,1366.52,"Trump"
"18","DeKalb County, Georgia",16.0647714714,295871,12.1,87.9,38.7,15.1,76.15,31275.05492,2.5,3,0.1,46.4,0.456,0.108,0.255,0.09,722,1080.4,0.239,0.093,623.17,13.97,51.7,8.5,1345.438,"Clinton"
"19","Dodge County, Georgia",71.7798427448,6995,23.1,76.9,13.8,4.8,61.5,26927.608255,4.3,4.7,0.12,64,0.453,0.189,0.358,0.153,497.9,315.8,0.208,0.115,477.48,8.11,79.4,NA,1192.022,"Trump"
"20","Douglas County, Georgia",43.237165519,57365,13.6,86.4,23.7,7.7,77.55,32897.63492,3.2,3.5,0.1,39.9,0.355,0.148,0.346,0.116,571.4,150.5,0.206,0.092,291.54,4.77,53.7,7.2,NA,"Clinton"
"21","Fulton County, Georgia",27.1069054186,407173,10.4,89.6,47.6,17.7,78.8,34953.15397,2.4,2.7,0.11,44.2,0.413,0.133,0.229,0.079,785.2,1268.7,0.224,0.096,840.82,13.8,59.8,8.1,1304.163,"Clinton"
"22","Madison County, Georgia",76.9778149853,11945,27.1,72.9,12.9,5.1,75.85,27169.175555,4.6,4.6,0.09,49.9,0.325,0.254,0.317,0.118,240,51.9,0.227,0.068,575.14,5.18,98.6,NA,1231.392,"Trump"
"23","Pike County, Georgia",83.8386167147,8675,17,83,15.7,5.9,77.95,28673.490475,NA,NA,0.09,37.7,0.305,NA,0.313,0.117,191.5,38.6,0.204,0.091,59.74,NA,70.1,NA,NA,"Trump"
"24","Polk County, Georgia",77.7369684984,14158,28.4,71.6,11.4,4.8,68.45,24613.23619,5.4,5.6,0.09,82,0.359,0.226,0.264,0.135,279.1,65.3,0.24,0.089,380.25,7.72,84.2,7,1305.052,"Trump"
"25","Turner County, Georgia",61.7699115044,3390,31.5,68.5,13.2,6,72.95,18596.705395,4.7,6.8,0.14,93.5,0.568,0.19,0.326,0.134,619.7,303.5,0.26,0.096,407.4,NA,90.9,NA,1256.538,"Trump"
"26","Orangeburg County, South Carolina",30.6743251597,38824,22.8,77.2,16.7,7,76.85,21724.600635,3.9,3.7,0.14,51.8,0.52,0.213,0.403,0.16,1165.3,580,0.219,0.136,609.19,14.85,97.1,12.8,1189.99,"Clinton"
"27","Saluda County, South Carolina",64.5519336371,8559,24.9,75.1,12.6,3.2,73,23057.00508,3.4,2.9,0.1,50.7,0.308,0.201,0.32,0.124,578.4,218.8,0.255,0.076,535.38,7.36,76.7,NA,1193.927,"Trump"
"28","Haakon County, South Dakota",89.6551724138,1044,12,88,20,2.4,73.45,27210.613015,2.1,NA,NA,27.4,0.12,NA,0.301,0.1,NA,NA,0.178,0.031,NA,NA,NA,NA,479.975333333,"Trump"
"29","Lake County, South Dakota",59.5048629531,6786,8.7,91.3,22.1,8.7,85.25,21323.75111,3,4.4,0.06,13.3,0.228,0.188,0.305,0.095,233.4,NA,0.117,0.041,87.16,NA,47.3,NA,NA,"Trump"
"30","Turner County, South Dakota",70.7710843373,4150,9.9,90.1,21.5,4.7,80.5,27290.795555,2.6,2.1,0.07,17.5,0.218,0.172,0.322,0.086,48,NA,0.127,0.038,55.72,NA,52.6,NA,672.338,"Trump"
"31","Coryell County, Texas",67.3691178904,18127,12.4,87.6,15.4,4.6,61.05,26074.79397,4.8,4.8,0.08,47.7,0.302,0.157,0.295,0.087,450.9,188,0.181,0.086,219.27,2.91,45.4,8.9,NA,"Trump"
"32","Dallas County, Texas",34.8851460536,750649,23.5,76.5,28,9.6,72.55,27634.778095,3.6,3.3,0.08,67.8,0.38,0.153,0.303,0.092,714.6,735.8,0.305,0.072,498.24,10.11,52,7.1,991.235,"Clinton"
"33","Johnson County, Texas",77.4751178628,57270,18.3,81.7,16.1,4.3,73.35,29422.87619,5.1,4.1,0.08,58.2,0.271,0.197,0.326,0.127,329.3,108.3,0.261,0.066,250,2.95,63.7,6.9,946.996666667,"Trump"
