Country,Score,Region,LifeExp_60_F,LifeExp_60_M,LifeExp_Birth_F,LifeExp_Birth_M,AlcConsumption,drinkWater_U,UVradiation,TrafDeathRate,sanFacility_U,NumRegVehicles,HivAdults
Afghanistan,3.203,Eastern Mediterranean,76,75,61,59,0.03,85,4132,19.8,46,731428,0.05
Albania,4.719,Europe,80,78,75,73,7.29,95,2542,12.7,95,419893,NA
Algeria,5.211,Africa,80,78,74,71,0.69,85,3253,NA,98,NA,NA
Argentina,6.086,Americas,83,79,79,72,9.35,100,3476,12.6,96,14163125,0.4
Armenia,4.559,Europe,79,75,75,67,13.66,100,2899,18.1,96,300091,0.2
Australia,7.228,Western Pacific,86,83,84,80,10.21,100,3206,6.1,100,16061098,0.2
Austria,7.246,Europe,86,82,84,78,12.4,100,1888,6.6,100,6091881,0.4
Azerbaijan,5.208,Europe,80,77,74,69,13.34,88,2702,13.1,86,982553,0.1
Bahrain,6.199,Eastern Mediterranean,83,81,80,78,4.19,100,4419,10.5,99,462015,NA
Bangladesh,4.456,South-East Asia,78,78,70,69,0.17,85,4029,11.6,55,1624862,0.05
Belarus,5.323,Europe,81,74,77,66,18.85,100,1795,14.4,92,3829244,0.4
Belgium,6.923,Europe,85,82,83,78,10.41,100,1645,8.1,100,7050618,0.3
Benin,4.883,Africa,77,76,59,56,2.08,85,5168,23.9,25,25613,1.2
Bhutan,5.082,South-East Asia,79,78,69,66,0.54,100,4180,13.2,74,57618,0.3
Bosnia and Herzegovina,5.386,Europe,81,79,78,74,9.6,100,2205,15.6,100,815232,NA
Botswana,3.488,Africa,78,76,67,64,6.97,99,4868,20.8,78,394548,23.4
Brazil,6.3,Americas,83,79,78,71,10.08,100,4552,22.5,87,64817974,0.3
Bulgaria,5.011,Europe,82,77,78,71,11.4,100,2331,10.4,100,3284837,0.1
Burkina Faso,4.587,Africa,75,74,57,54,7.32,96,5567,27.7,50,884750,1.1
Burundi,3.775,Africa,76,75,54,52,9.65,82,5111,21.3,45,30045,1.3
Cambodia,4.7,Western Pacific,77,75,66,64,4.71,90,5152,17.2,76,1652534,0.6
Cameroon,5.044,Africa,77,75,54,51,7.9,95,5185,20.1,58,443018,4.6
Canada,7.278,Americas,86,83,84,80,10.2,100,1887,6.8,100,21387132,0.3
Central African Republic,3.083,Africa,76,75,50,47,3.17,92,5498,14.6,43,4781,4.6
Chad,4.35,Africa,76,74,53,50,4.39,71,5669,29.7,31,243644,3.1
Chile,6.444,Americas,85,81,82,76,8.81,100,3982,12.3,100,3375523,0.5
China,5.191,Western Pacific,81,79,77,74,5.56,98,2908,20.5,74,207061286,0.05
Colombia,6.125,Americas,85,83,81,74,6.59,100,5385,15.6,82,7229373,0.5
Comoros,3.973,Africa,77,75,63,60,0.28,NA,5524,21.8,NA,29970,0.05
Costa Rica,7.167,Americas,85,82,81,77,5.81,100,4884,12.7,95,923591,0.3
Croatia,5.432,Europe,83,79,80,74,15,100,1976,10.4,99,1969587,0.05
Cyprus,6.046,Europe,85,83,84,79,8.84,100,3439,7.6,100,774492,NA
Czech Republic,6.852,Europe,83,79,81,75,16.47,100,1707,7.6,100,7262647,0.05
Denmark,7.6,Europe,84,81,82,77,12.02,100,1691,4.7,100,3108962,0.2
Dominican Republic,5.425,Americas,80,80,73,72,6.28,82,4880,41.7,86,2734740,0.7
Ecuador,6.028,Americas,84,82,79,73,9.43,96,4929,27,96,1039364,0.4
Egypt,4.166,Eastern Mediterranean,80,77,75,71,0.32,100,4202,13.2,97,5853728,0.05
El Salvador,6.253,Americas,82,80,76,68,3.99,94,5364,21.9,79,715345,0.6
Estonia,5.893,Europe,84,78,81,71,17.24,99,1781,6.5,100,664644,1.3
Ethiopia,4.286,Africa,78,76,62,59,4.1,97,5929,17.6,27,377943,1.4
Finland,7.769,Europe,86,82,84,78,13.1,100,1494,5.1,100,5331582,0.1
France,6.592,Europe,87,83,85,78,12.48,100,1907,6.4,100,34276000,0.4
Gabon,4.799,Africa,79,77,64,61,9.46,95,4654,22.5,33,195000,5
Gambia,4.516,Africa,74,73,60,57,3.58,92,5358,18.8,70,17416,1.5
Georgia,4.519,Europe,80,76,76,68,6.66,100,2489,15.7,96,736470,0.2
Germany,6.985,Europe,85,82,83,78,12.14,100,1812,4.7,100,50184000,0.2
Ghana,4.996,Africa,79,77,65,62,3.11,92,5166,22.2,19,1122700,1.5
Greece,5.287,Europe,86,82,84,78,11.01,100,2753,12.2,99,7910565,0.2
Guatemala,6.436,Americas,81,80,73,66,7.1,99,5141,6.7,88,2118516,0.8
Guinea,4.534,Africa,77,75,56,54,0.79,90,5391,19.6,32,33943,1.4
Haiti,3.597,Americas,77,76,64,61,5.92,77,5016,NA,34,NA,1.8
Honduras,5.86,Americas,82,80,76,72,4.43,96,4924,18.8,86,983800,NA
Hungary,5.758,Europe,82,77,79,71,16.12,100,1932,9.1,100,3608834,0.05
